family,name,split,variant,lam,epochs,seed,overall,flank,adh,fa
stage3_vision,vis_taylor_sym_l0.01_tslope_e34_s42,val,sym-T,0.01,34,42,44.38402557373047,34.83755111694336,18.608774185180664,59.25477600097656
stage3_vision,vis_taylor_sym_l0.01_tslope_e34_s42,test,sym-T,0.01,34,42,24.300790786743164,18.661216735839844,38.71451187133789,43.262351989746094
stage3_vision,vis_taylor_sym_l0.01_tslope_e34_s43,val,sym-T,0.01,34,43,38.7431755065918,33.94820785522461,17.339311599731445,46.762481689453125
stage3_vision,vis_taylor_sym_l0.01_tslope_e34_s43,test,sym-T,0.01,34,43,19.383668899536133,17.33673858642578,33.12958526611328,23.489503860473633
stage3_vision,vis_taylor_sym_l0.01_tslope_e34_s44,val,sym-T,0.01,34,44,37.05854034423828,32.1093635559082,24.819978713989258,44.69486999511719
stage3_vision,vis_taylor_sym_l0.01_tslope_e34_s44,test,sym-T,0.01,34,44,20.825847625732422,19.54627227783203,35.337852478027344,21.462322235107422
stage3_vision,vis_taylor_sym_l0.02_tslope_e34_s42,val,sym-T,0.02,34,42,44.590797424316406,35.41084671020508,20.26859474182129,58.860469818115234
stage3_vision,vis_taylor_sym_l0.02_tslope_e34_s42,test,sym-T,0.02,34,42,24.738943099975586,19.394311904907227,38.91101837158203,42.54183578491211
stage3_vision,vis_taylor_sym_l0.02_tslope_e34_s43,val,sym-T,0.02,34,43,38.78573226928711,33.97624588012695,19.504108428955078,46.68708419799805
stage3_vision,vis_taylor_sym_l0.02_tslope_e34_s43,test,sym-T,0.02,34,43,19.61586570739746,17.58598518371582,33.2943000793457,23.672182083129883
stage3_vision,vis_taylor_sym_l0.02_tslope_e34_s44,val,sym-T,0.02,34,44,37.35520935058594,32.29434585571289,23.230987548828125,45.2685432434082
stage3_vision,vis_taylor_sym_l0.02_tslope_e34_s44,test,sym-T,0.02,34,44,20.04694175720215,18.42902374267578,34.83647537231445,22.01248550415039
stage3_vision,vis_taylor_sym_l0.1_tslope_e34_s42,val,sym-T,0.1,34,42,48.33505630493164,39.714073181152344,21.76833724975586,61.978145599365234
stage3_vision,vis_taylor_sym_l0.1_tslope_e34_s42,test,sym-T,0.1,34,42,27.629087448120117,22.2978572845459,39.77084732055664,46.03779983520508
stage3_vision,vis_taylor_sym_l0.1_tslope_e34_s43,val,sym-T,0.1,34,43,41.38343048095703,39.08363723754883,31.64668846130371,45.195289611816406
stage3_vision,vis_taylor_sym_l0.1_tslope_e34_s43,test,sym-T,0.1,34,43,23.186132431030273,21.926965713500977,35.162940979003906,24.56367301940918
stage3_vision,vis_taylor_sym_l0.1_tslope_e34_s44,val,sym-T,0.1,34,44,42.4307746887207,40.545799255371094,39.52214431762695,45.225196838378906
stage3_vision,vis_taylor_sym_l0.1_tslope_e34_s44,test,sym-T,0.1,34,44,26.378997802734375,26.508703231811523,38.61935043334961,21.8433837890625
stage3_vision,vis_taylor_sym_l0.2_tslope_e34_s42,val,sym-T,0.2,34,42,53.57188415527344,50.4290657043457,35.502906799316406,59.090843200683594
stage3_vision,vis_taylor_sym_l0.2_tslope_e34_s42,test,sym-T,0.2,34,42,33.89604949951172,31.55246353149414,42.01496505737305,41.08145523071289
stage3_vision,vis_taylor_sym_l0.2_tslope_e34_s43,val,sym-T,0.2,34,43,44.29278564453125,41.71085739135742,31.110942840576172,48.718666076660156
stage3_vision,vis_taylor_sym_l0.2_tslope_e34_s43,test,sym-T,0.2,34,43,25.71466827392578,25.19002914428711,33.1314811706543,25.497346878051758
stage3_vision,vis_taylor_sym_l0.2_tslope_e34_s44,val,sym-T,0.2,34,44,50.068878173828125,52.49028778076172,54.45590591430664,46.43688201904297
stage3_vision,vis_taylor_sym_l0.2_tslope_e34_s44,test,sym-T,0.2,34,44,33.804039001464844,35.94894027709961,42.80164337158203,21.870773315429688
stage3_vision,vis_taylor_sym_l0.5_e17_s42,val,sym,0.5,17,42,45.21623992919922,36.37223815917969,19.246322631835938,59.128753662109375
stage3_vision,vis_taylor_sym_l0.5_e17_s42,test,sym,0.5,17,42,23.55095100402832,18.38624382019043,35.585693359375,41.295894622802734
