family,experiment,split,lambda_max,one_sided,apply_to,best_epoch,overall,flank,adh,f+a,n_total
stage3_vision,vis_taylor_ceil,val,0.05,True,all,14,46.40414810180664,38.76976776123047,19.921236038208008,58.678192138671875,301
stage3_vision,vis_taylor_ceil,test,0.05,True,all,14,24.46797752380371,18.96925163269043,35.60251235961914,43.90790939331055,254
stage3_vision,vis_taylor_ceil_l0.1,val,0.1,True,all,14,47.28774642944336,39.348358154296875,20.339580535888672,60.013614654541016,301
stage3_vision,vis_taylor_ceil_l0.1,test,0.1,True,all,14,24.613834381103516,18.744525909423828,35.30241775512695,45.754024505615234,254
stage3_vision,vis_taylor_ceil_l0.2,val,0.2,True,all,14,47.931640625,39.20894241333008,20.263696670532227,61.78693389892578,301
stage3_vision,vis_taylor_ceil_l0.2,test,0.2,True,all,14,24.635066986083984,18.24864959716797,35.00640869140625,48.048301696777344,254
stage3_vision,vis_taylor_ceil_l0.5,val,0.5,True,all,14,47.923763275146484,37.63774108886719,20.867673873901367,63.899967193603516,301
stage3_vision,vis_taylor_ceil_l0.5,test,0.5,True,all,14,24.708999633789062,17.70826530456543,34.60391616821289,50.855045318603516,254
stage3_vision,vis_taylor_sym,val,0.05,False,all,14,46.20304870605469,39.00126266479492,20.67057228088379,57.81739044189453,301
stage3_vision,vis_taylor_sym,test,0.05,False,all,14,24.53544807434082,19.247142791748047,36.031494140625,42.97463607788086,254
stage3_vision,vis_taylor_sym_l0.1,val,0.1,False,all,14,46.17938232421875,39.265682220458984,22.032211303710938,57.30545425415039,301
stage3_vision,vis_taylor_sym_l0.1,test,0.1,False,all,14,24.642009735107422,19.35793113708496,36.6371955871582,42.90066909790039,254
stage3_vision,vis_taylor_sym_l0.2,val,0.2,False,all,14,45.90791320800781,39.010833740234375,23.33248519897461,56.908782958984375,301
stage3_vision,vis_taylor_sym_l0.2,test,0.2,False,all,14,24.719711303710938,19.52202033996582,37.600196838378906,42.327266693115234,254
stage3_vision,vis_taylor_sym_l0.5,val,0.5,False,all,15,45.1868782043457,36.332645416259766,19.161298751831055,59.117156982421875,301
stage3_vision,vis_taylor_sym_l0.5,test,0.5,False,all,15,23.54807472229004,18.390819549560547,35.63615798950195,41.24435806274414,254
stage3_vision,vision_only_ctrl,val,0.0,False,all,14,46.25877380371094,39.101505279541016,20.719377517700195,57.81202697753906,301
stage3_vision,vision_only_ctrl,test,0.0,False,all,14,24.76338768005371,19.51697540283203,36.349754333496094,42.9973258972168,254
stage3_fusion,t3gated_ctrl,val,0.0,False,all,6,38.1031494140625,36.38608169555664,19.06985855102539,41.559539794921875,300
stage3_fusion,t3gated_ctrl,test,0.0,False,all,6,21.267724990844727,18.86243438720703,39.821266174316406,25.219820022583008,247
stage3_fusion,t3gated_taylor_ceil,val,0.05,True,all,6,38.020259857177734,35.98418426513672,17.435306549072266,42.00585174560547,300
stage3_fusion,t3gated_taylor_ceil,test,0.05,True,all,6,21.272504806518555,19.257078170776367,40.05849075317383,23.47955894470215,247
stage3_fusion,t3gated_taylor_ceil_l0.1,val,0.1,True,all,14,37.664634704589844,35.63041687011719,25.70517349243164,41.156768798828125,300
stage3_fusion,t3gated_taylor_ceil_l0.1,test,0.1,True,all,14,21.619064331054688,18.537355422973633,39.491092681884766,28.693614959716797,247
stage3_fusion,t3gated_taylor_ceil_l0.2,val,0.2,True,all,14,36.81561279296875,33.59968566894531,19.361276626586914,42.253719329833984,300
stage3_fusion,t3gated_taylor_ceil_l0.2,test,0.2,True,all,14,20.455331802368164,17.7493953704834,38.49833679199219,25.86603355407715,247
stage3_fusion,t3gated_taylor_ceil_l0.5,val,0.5,True,all,16,36.966190338134766,33.75996780395508,20.737430572509766,42.32115173339844,300
stage3_fusion,t3gated_taylor_ceil_l0.5,test,0.5,True,all,16,18.658246994018555,16.296722412109375,38.4838981628418,21.989662170410156,247
stage3_fusion,t3gated_taylor_sym,val,0.05,False,all,9,38.363040924072266,37.12721252441406,27.30518913269043,40.700401306152344,300
stage3_fusion,t3gated_taylor_sym,test,0.05,False,all,9,21.13446044921875,18.717201232910156,40.37587356567383,24.903181076049805,247
stage3_fusion,t3gated_taylor_sym_l0.1,val,0.1,False,all,17,37.13228988647461,34.252017974853516,23.11118507385254,41.911102294921875,300
stage3_fusion,t3gated_taylor_sym_l0.1,test,0.1,False,all,17,21.096391677856445,18.917707443237305,37.17718505859375,24.9232234954834,247
stage3_fusion,t3gated_taylor_sym_l0.2,val,0.2,False,all,17,36.437660217285156,32.431739807128906,20.19866943359375,42.898468017578125,300
stage3_fusion,t3gated_taylor_sym_l0.2,test,0.2,False,all,17,21.180635452270508,19.35497283935547,39.1871337890625,22.842628479003906,247
stage3_fusion,t3gated_taylor_sym_l0.5,val,0.5,False,all,17,38.89139175415039,34.29592514038086,27.36369514465332,45.89889144897461,300
stage3_fusion,t3gated_taylor_sym_l0.5,test,0.5,False,all,17,20.594295501708984,19.085275650024414,39.90459060668945,20.45887565612793,247
