family,name,split,variant,lam,epochs,seed,overall,flank,adh,fa
stage3_vision,vis_taylor_sym_l0.05_tslope_e17_s42,val,sym-T,0.05,17,42,46.336360931396484,39.144351959228516,20.79703140258789,57.937625885009766
stage3_vision,vis_taylor_sym_l0.05_tslope_e17_s42,test,sym-T,0.05,17,42,24.552539825439453,19.197938919067383,35.733585357666016,43.372596740722656
stage3_vision,vis_taylor_sym_l0.05_tslope_e17_s43,val,sym-T,0.05,17,43,37.9542350769043,33.197425842285156,21.448360443115234,45.60223388671875
stage3_vision,vis_taylor_sym_l0.05_tslope_e17_s43,test,sym-T,0.05,17,43,23.489139556884766,20.656312942504883,32.395225524902344,32.47053146362305
stage3_vision,vis_taylor_sym_l0.05_tslope_e17_s44,val,sym-T,0.05,17,44,37.805030822753906,32.795692443847656,17.06954002380371,46.07715606689453
stage3_vision,vis_taylor_sym_l0.05_tslope_e17_s44,test,sym-T,0.05,17,44,20.54159927368164,18.571544647216797,37.28830337524414,23.346385955810547
stage3_vision,vis_taylor_sym_l0.1_tslope_e17_s42,val,sym-T,0.1,17,42,46.280296325683594,39.332000732421875,21.863216400146484,57.47173309326172
stage3_vision,vis_taylor_sym_l0.1_tslope_e17_s42,test,sym-T,0.1,17,42,24.56556510925293,19.252696990966797,36.0386848449707,43.115257263183594
stage3_vision,vis_taylor_sym_l0.1_tslope_e17_s43,val,sym-T,0.1,17,43,37.94439697265625,33.24512481689453,21.05096435546875,45.53809356689453
stage3_vision,vis_taylor_sym_l0.1_tslope_e17_s43,test,sym-T,0.1,17,43,22.76768684387207,20.265661239624023,32.26411056518555,30.16866111755371
stage3_vision,vis_taylor_sym_l0.1_tslope_e17_s44,val,sym-T,0.1,17,44,37.983253479003906,32.770118713378906,16.443008422851562,46.58939743041992
stage3_vision,vis_taylor_sym_l0.1_tslope_e17_s44,test,sym-T,0.1,17,44,20.360532760620117,18.34844970703125,37.2313232421875,23.301189422607422
stage3_vision,vis_taylor_sym_l0.5_tslope_e17_s42,val,sym-T,0.5,17,42,45.849727630615234,37.40571594238281,20.566146850585938,59.16477966308594
stage3_vision,vis_taylor_sym_l0.5_tslope_e17_s42,test,sym-T,0.5,17,42,23.288604736328125,18.080795288085938,34.80949020385742,41.38193130493164
stage3_vision,vis_taylor_sym_l0.5_tslope_e17_s43,val,sym-T,0.5,17,43,37.98318099975586,32.668731689453125,16.141803741455078,46.748924255371094
stage3_vision,vis_taylor_sym_l0.5_tslope_e17_s43,test,sym-T,0.5,17,43,19.5572566986084,17.67616081237793,34.75884246826172,22.492639541625977
stage3_vision,vis_taylor_sym_l0.5_tslope_e17_s44,val,sym-T,0.5,17,44,38.360511779785156,32.5632209777832,13.351051330566406,47.99966049194336
stage3_vision,vis_taylor_sym_l0.5_tslope_e17_s44,test,sym-T,0.5,17,44,19.037700653076172,16.54998016357422,37.25440979003906,23.53508186340332
stage3_vision,vis_taylor_sym_l0.75_tslope_e17_s42,val,sym-T,0.75,17,42,45.652164459228516,37.32645797729492,20.59516716003418,58.788963317871094
stage3_vision,vis_taylor_sym_l0.75_tslope_e17_s42,test,sym-T,0.75,17,42,22.803796768188477,17.76154136657715,33.89942932128906,40.341217041015625
stage3_vision,vis_taylor_sym_l0.75_tslope_e17_s43,val,sym-T,0.75,17,43,39.02463912963867,31.948698043823242,13.051497459411621,50.49370574951172
stage3_vision,vis_taylor_sym_l0.75_tslope_e17_s43,test,sym-T,0.75,17,43,19.684968948364258,16.82379150390625,34.766136169433594,26.77169418334961
stage3_vision,vis_taylor_sym_l0.75_tslope_e17_s44,val,sym-T,0.75,17,44,38.858272552490234,33.46693420410156,20.989234924316406,47.4719352722168
stage3_vision,vis_taylor_sym_l0.75_tslope_e17_s44,test,sym-T,0.75,17,44,19.688140869140625,17.604820251464844,37.702816009521484,22.554672241210938
stage3_vision,vis_taylor_sym_l1.0_tslope_e17_s42,val,sym-T,1.0,17,42,44.80712890625,36.67855453491211,20.28179931640625,57.63689041137695
stage3_vision,vis_taylor_sym_l1.0_tslope_e17_s42,test,sym-T,1.0,17,42,23.05582618713379,18.255962371826172,33.73476791381836,39.712120056152344
stage3_vision,vis_taylor_sym_l1.0_tslope_e17_s43,val,sym-T,1.0,17,43,38.60163497924805,31.641841888427734,11.207910537719727,50.002567291259766
stage3_vision,vis_taylor_sym_l1.0_tslope_e17_s43,test,sym-T,1.0,17,43,19.70410919189453,16.530717849731445,34.04539108276367,28.34205436706543
stage3_vision,vis_taylor_sym_l1.0_tslope_e17_s44,val,sym-T,1.0,17,44,38.6016731262207,32.96510696411133,20.730709075927734,47.55440139770508
stage3_vision,vis_taylor_sym_l1.0_tslope_e17_s44,test,sym-T,1.0,17,44,19.803651809692383,17.564592361450195,37.624900817871094,23.386682510375977
stage3_vision,vis_taylor_sym_l1.5_tslope_e17_s42,val,sym-T,1.5,17,42,44.013153076171875,36.272735595703125,19.324819564819336,56.31704330444336
stage3_vision,vis_taylor_sym_l1.5_tslope_e17_s42,test,sym-T,1.5,17,42,23.427852630615234,18.704326629638672,33.22578048706055,40.051151275634766
stage3_vision,vis_taylor_sym_l1.5_tslope_e17_s43,val,sym-T,1.5,17,43,38.33457946777344,31.493879318237305,8.278802871704102,49.744056701660156
stage3_vision,vis_taylor_sym_l1.5_tslope_e17_s43,test,sym-T,1.5,17,43,19.86246681213379,16.29421043395996,34.31907653808594,30.1195068359375
stage3_vision,vis_taylor_sym_l1.5_tslope_e17_s44,val,sym-T,1.5,17,44,36.171573638916016,25.965429306030273,14.822797775268555,51.666168212890625
stage3_vision,vis_taylor_sym_l1.5_tslope_e17_s44,test,sym-T,1.5,17,44,29.096500396728516,26.842538833618164,44.66112518310547,33.4779167175293
stage3_vision,vision_only_ctrl_e17_s42,val,ctrl,0.0,17,42,46.211124420166016,39.0606803894043,20.663280487060547,57.755496978759766
stage3_vision,vision_only_ctrl_e17_s42,test,ctrl,0.0,17,42,24.72920036315918,19.493417739868164,36.31239700317383,42.919578552246094
stage3_vision,vision_only_ctrl_e17_s43,val,ctrl,0.0,17,43,37.86474609375,33.1453857421875,21.55990219116211,45.447914123535156
stage3_vision,vision_only_ctrl_e17_s43,test,ctrl,0.0,17,43,24.241487503051758,20.95855712890625,32.3389778137207,35.375038146972656
stage3_vision,vision_only_ctrl_e17_s44,val,ctrl,0.0,17,44,37.67073440551758,32.98420333862305,18.011905670166016,45.42667770385742
stage3_vision,vision_only_ctrl_e17_s44,test,ctrl,0.0,17,44,20.658485412597656,18.668170928955078,37.52350997924805,23.50969886779785
stage3_fusion,t3gated_ctrl_e17_s42,val,ctrl,0.0,17,42,37.88932800292969,36.31953430175781,19.42201805114746,41.10993576049805
stage3_fusion,t3gated_ctrl_e17_s42,test,ctrl,0.0,17,42,21.605283737182617,18.96776580810547,40.10127639770508,26.56922149658203
stage3_fusion,t3gated_ctrl_e17_s43,val,ctrl,0.0,17,43,38.77375793457031,36.14238739013672,21.3055419921875,43.40473175048828
stage3_fusion,t3gated_ctrl_e17_s43,test,ctrl,0.0,17,43,19.982986450195312,17.480121612548828,29.552547454833984,27.414701461791992
stage3_fusion,t3gated_ctrl_e17_s44,val,ctrl,0.0,17,44,48.19792938232422,44.507423400878906,13.283011436462402,55.28565979003906
stage3_fusion,t3gated_ctrl_e17_s44,test,ctrl,0.0,17,44,23.961854934692383,22.52880859375,38.517982482910156,25.1225528717041
stage3_fusion,t3gated_taylor_ceil_l0.05_tslope_e17_s42,val,ceil-T,0.05,17,42,37.7101936340332,35.61699295043945,16.46760368347168,41.812164306640625
stage3_fusion,t3gated_taylor_ceil_l0.05_tslope_e17_s42,test,ceil-T,0.05,17,42,21.69974136352539,19.555227279663086,40.79692459106445,24.352252960205078
stage3_fusion,t3gated_taylor_ceil_l0.05_tslope_e17_s43,val,ceil-T,0.05,17,43,38.96360778808594,35.77006149291992,21.518156051635742,44.37028121948242
stage3_fusion,t3gated_taylor_ceil_l0.05_tslope_e17_s43,test,ceil-T,0.05,17,43,19.792755126953125,17.371051788330078,30.464067459106445,26.502092361450195
stage3_fusion,t3gated_taylor_ceil_l0.05_tslope_e17_s44,val,ceil-T,0.05,17,44,48.71477127075195,44.46540451049805,12.561811447143555,56.64535903930664
stage3_fusion,t3gated_taylor_ceil_l0.05_tslope_e17_s44,test,ceil-T,0.05,17,44,23.828449249267578,22.396778106689453,38.20152282714844,25.045690536499023
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e17_s42,val,ceil-T,0.1,17,42,37.870994567871094,35.90264129638672,26.435781478881836,41.24226379394531
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e17_s42,test,ceil-T,0.1,17,42,21.644594192504883,18.649456024169922,39.493839263916016,28.357044219970703
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e17_s43,val,ceil-T,0.1,17,43,39.01838684082031,35.072750091552734,23.790706634521484,45.338321685791016
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e17_s43,test,ceil-T,0.1,17,43,19.652973175048828,17.15652084350586,31.130281448364258,26.406902313232422
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e17_s44,val,ceil-T,0.1,17,44,49.609619140625,44.70859146118164,12.903722763061523,58.47235107421875
stage3_fusion,t3gated_taylor_ceil_l0.1_tslope_e17_s44,test,ceil-T,0.1,17,44,24.20334243774414,22.9208984375,36.54566192626953,25.47528076171875
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e17_s42,val,ceil-T,0.5,17,42,37.43426513671875,33.77442169189453,21.220048904418945,43.415348052978516
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e17_s42,test,ceil-T,0.5,17,42,18.276416778564453,16.11780548095703,38.49452209472656,20.607025146484375
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e17_s43,val,ceil-T,0.5,17,43,41.28889465332031,36.139156341552734,17.469995498657227,49.761966705322266
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e17_s43,test,ceil-T,0.5,17,43,19.832202911376953,16.8831844329834,34.17127227783203,27.54424476623535
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e17_s44,val,ceil-T,0.5,17,44,52.95706558227539,47.586666107177734,21.200393676757812,62.18684387207031
stage3_fusion,t3gated_taylor_ceil_l0.5_tslope_e17_s44,test,ceil-T,0.5,17,44,23.313919067382812,19.426809310913086,38.23395919799805,34.83609390258789
stage3_fusion,t3gated_taylor_ceil_l0.75_tslope_e17_s42,val,ceil-T,0.75,17,42,37.526153564453125,31.81661605834961,17.71599769592285,46.54478073120117
stage3_fusion,t3gated_taylor_ceil_l0.75_tslope_e17_s42,test,ceil-T,0.75,17,42,18.921897888183594,17.477741241455078,39.186378479003906,18.184043884277344
stage3_fusion,t3gated_taylor_ceil_l0.75_tslope_e17_s43,val,ceil-T,0.75,17,43,42.898399353027344,36.642601013183594,12.341275215148926,53.28363800048828
stage3_fusion,t3gated_taylor_ceil_l0.75_tslope_e17_s43,test,ceil-T,0.75,17,43,21.183685302734375,17.58965301513672,36.256656646728516,31.4014892578125
stage3_fusion,t3gated_taylor_ceil_l0.75_tslope_e17_s44,val,ceil-T,0.75,17,44,53.1604118347168,44.523582458496094,17.703529357910156,67.11536407470703
stage3_fusion,t3gated_taylor_ceil_l0.75_tslope_e17_s44,test,ceil-T,0.75,17,44,24.60917091369629,19.17365074157715,39.2077522277832,42.85688400268555
stage3_fusion,t3gated_taylor_ceil_l1.0_tslope_e17_s42,val,ceil-T,1.0,17,42,37.412322998046875,31.22960662841797,17.414216995239258,47.095645904541016
stage3_fusion,t3gated_taylor_ceil_l1.0_tslope_e17_s42,test,ceil-T,1.0,17,42,18.1291446685791,16.58004379272461,37.9576530456543,17.988304138183594
stage3_fusion,t3gated_taylor_ceil_l1.0_tslope_e17_s43,val,ceil-T,1.0,17,43,42.5450325012207,34.50905990600586,14.030369758605957,55.27444839477539
stage3_fusion,t3gated_taylor_ceil_l1.0_tslope_e17_s43,test,ceil-T,1.0,17,43,21.129539489746094,17.14940643310547,35.41383361816406,33.26591110229492
stage3_fusion,t3gated_taylor_ceil_l1.0_tslope_e17_s44,val,ceil-T,1.0,17,44,55.90563201904297,45.01068878173828,16.110088348388672,73.22847747802734
stage3_fusion,t3gated_taylor_ceil_l1.0_tslope_e17_s44,test,ceil-T,1.0,17,44,25.743444442749023,20.09014320373535,39.86149978637695,45.08549118041992
