rank,feature,importance_abs
1,Fx_p95mp05,1047.3424110412598
2,Fy_std,863.1574674844742
3,Fx_std,725.4029998779297
4,Fy_p95mp05,241.6840057373047
5,Fy_spec_entropy,159.81500148773193
6,Fy_mean,154.81660056114197
7,Fx_mean,121.32939910888672
8,Fx_cv,106.46811866760254
9,Fx_spec_entropy,85.6780195236206
10,Fy_rel_e_b2,69.73281979560852
11,Fy_cv,66.45919990539551
12,Fx_win_mean_rms,56.84908056259155
13,acc_frac3sig,56.546600341796875
14,Fres_win_std_rms,56.38634014129639
15,Fy_win_mean_rms,49.11730194091797
16,Fy_win_intercept_rms,45.64910125732422
17,Fz_mean,36.172698974609375
18,acoustic_frac3sig,34.08271026611328
19,acc_win_std_rms,32.10093927383423
20,FxFy_ratio_mean,29.648700714111328
