method,heldout_set,mae_overall_um,mae_flank_wear_um,mae_adhesion_um,mae_flank_wear+adh,n
ridge_v1_absolute,1,102.43206787109375,107.05828857421875,84.90108489990234,,91
ridge_v1_absolute,2,45.53489303588867,36.979923248291016,61.13514709472656,,96
ridge_v1_absolute,5,154.95761108398438,159.43019104003906,104.86434173583984,,61
ridge_v1_absolute,7,35.010169982910156,36.518009185791016,19.764211654663086,,100
ridge_v1_absolute,8,27.39142608642578,21.577295303344727,65.85411834716797,,99
ridge_v1_absolute,10,40.402339935302734,39.28643035888672,55.2279052734375,,100
ridge_v1_absolute,11,175.4107208251953,180.34014892578125,81.75157165527344,,100
ridge_v1_delta,1,339.8901062011719,335.4166564941406,356.84210205078125,,91
ridge_v1_delta,2,53.4935417175293,46.681640625,65.91522216796875,,96
ridge_v1_delta,5,175.1042938232422,179.22048950195312,129.00277709960938,,61
ridge_v1_delta,7,46.51948165893555,47.53314971923828,36.27018356323242,,100
ridge_v1_delta,8,32.05043411254883,26.483341217041016,68.87887573242188,,99
ridge_v1_delta,10,43.220279693603516,42.379241943359375,54.39397048950195,,100
ridge_v1_delta,11,140.15452575683594,140.570556640625,132.24978637695312,,100
ridge_v2_absolute,1,169.10679626464844,172.81591796875,155.05128479003906,,91
ridge_v2_absolute,2,129.02821350097656,107.85012817382812,167.64706420898438,,96
ridge_v2_absolute,5,207.0025634765625,211.19911193847656,160.001220703125,,61
ridge_v2_absolute,7,39.6354866027832,40.897430419921875,26.875829696655273,,100
ridge_v2_absolute,8,39.68842697143555,36.46403503417969,61.019039154052734,,99
ridge_v2_absolute,10,46.036720275878906,44.446353912353516,67.16586303710938,,100
ridge_v2_absolute,11,157.34512329101562,158.10939025878906,142.82391357421875,,100
ridge_v2_delta,1,92.49018096923828,94.77688598632812,83.82474517822266,,91
ridge_v2_delta,2,43.58494186401367,27.68886947631836,72.5718994140625,,96
ridge_v2_delta,5,128.97415161132812,132.36990356445312,90.94158935546875,,61
ridge_v2_delta,7,31.305246353149414,30.76409339904785,36.77693557739258,,100
ridge_v2_delta,8,32.46287536621094,25.8000431060791,76.54008483886719,,99
ridge_v2_delta,10,54.57242202758789,54.81703567504883,51.32246017456055,,100
ridge_v2_delta,11,123.82027435302734,122.51358032226562,148.64759826660156,,100
lgbm_v2_absolute,1,27.879918893276336,27.011116303340618,31.172223444611678,,91
lgbm_v2_absolute,2,56.02963334365827,38.808080947074195,87.43364065507627,,96
lgbm_v2_absolute,5,168.88258055580158,174.01805837200658,111.36522901430533,,61
lgbm_v2_absolute,7,25.298972178384226,26.09432287193554,17.25709294358767,,100
lgbm_v2_absolute,8,25.379686710123213,21.82727462301383,48.880258978692986,,99
lgbm_v2_absolute,10,28.94676744428676,26.77665192093282,57.77830225456056,,100
lgbm_v2_absolute,11,94.43669957772701,94.14864361680674,99.90976283521215,,100
lgbm_v2_delta,1,70.04594507646587,67.60943555644864,79.2790337838996,,91
lgbm_v2_delta,2,74.05394835342666,52.387283965163725,113.56374812025905,,96
lgbm_v2_delta,5,150.27813776274118,153.96182345304675,109.02085803131881,,61
lgbm_v2_delta,7,38.918682661752285,40.056407605992945,27.415019336652264,,100
lgbm_v2_delta,8,40.02082156310969,33.521179131664574,83.01845610959278,,99
lgbm_v2_delta,10,42.441908518040954,41.25384618395033,58.22616524238793,,100
lgbm_v2_delta,11,58.48854457619493,53.32706943600853,156.55657223973634,,100
lgbm_v2cut_absolute,1,26.228412292787812,25.09041795402844,30.540811892297057,,91
lgbm_v2cut_absolute,2,57.60785303314942,40.75876152685053,88.33266695640036,,96
lgbm_v2cut_absolute,5,168.50186085381165,173.59880264263478,111.41611281899273,,61
lgbm_v2cut_absolute,7,27.1211998593665,27.929067713805615,18.952758220037612,,100
lgbm_v2cut_absolute,8,26.682736656600884,23.699943425555784,46.415061108130026,,99
lgbm_v2cut_absolute,10,25.887723650810216,23.282307834106177,60.502533787020994,,100
lgbm_v2cut_absolute,11,93.42272264920439,93.16983469349256,98.22759380772916,,100
lgbm_v1v2_absolute,1,29.324466247338663,29.12202464445644,30.09161337405023,,91
lgbm_v1v2_absolute,2,61.14013604639958,42.92022982891052,94.36467091358554,,96
lgbm_v1v2_absolute,5,166.9984751559981,172.08789056324414,109.9970225948429,,61
lgbm_v1v2_absolute,7,29.2514550622072,30.15154048868345,20.15059130561395,,100
lgbm_v1v2_absolute,8,26.201892367172405,23.721493851118506,42.61068255029822,,99
lgbm_v1v2_absolute,10,29.12397440623684,27.2395145668679,54.16036941499552,,100
lgbm_v1v2_absolute,11,105.86883885607759,105.90599428108573,105.16288578092227,,100
lgbm_v1v2cut_absolute,1,37.34895014166476,37.018246775885764,38.602141843564084,,91
lgbm_v1v2cut_absolute,2,59.015422258706224,40.660076369954716,92.48693534995903,,96
lgbm_v1v2cut_absolute,5,168.5232150679002,173.5702484945439,111.99644068949104,,61
lgbm_v1v2cut_absolute,7,25.077485132383636,25.81388820543995,17.631631838147584,,100
lgbm_v1v2cut_absolute,8,34.99587862051535,33.95005899778144,41.91437766321659,,99
lgbm_v1v2cut_absolute,10,29.898380840521767,27.90316631527962,56.40623096159599,,100
lgbm_v1v2cut_absolute,11,110.96718129732389,111.50714439900185,100.70788236544294,,100
