method,split,mae_overall_um,mae_flank_wear_um,mae_adhesion_um,mae_f_plus_a_um,n
predict_mean_train,val,57.728515625,50.722930908203125,48.505191802978516,67.9359359741211,300
predict_mean_train,test,40.9156608581543,40.96624755859375,58.843894958496094,34.587608337402344,247
ridge_v1_absolute,train,21.726455688476562,18.53837013244629,40.95893478393555,,647
ridge_v1_absolute,val,85.79434967041016,61.11922073364258,23.663768768310547,123.4340591430664,300
ridge_v1_absolute,test,55.97700119018555,45.618133544921875,52.83522033691406,101.30870819091797,247
ridge_v1_absolute,loso_pooled,78.73130798339844,80.88969421386719,65.71056365966797,,647
ridge_v1_delta,train,23.004234313964844,19.44300651550293,44.48772048950195,,647
ridge_v1_delta,val,78.40971374511719,78.71564483642578,14.8509521484375,81.60404968261719,300
ridge_v1_delta,test,34.77743911743164,23.27330780029297,39.87118148803711,82.1949462890625,247
ridge_v1_delta,loso_pooled,112.68803405761719,109.87237548828125,129.6738739013672,,647
ridge_v2_absolute,train,19.942399978637695,16.828645706176758,38.72644805908203,,647
ridge_v2_absolute,val,84.2445068359375,47.054290771484375,34.35750961303711,138.48471069335938,300
ridge_v2_absolute,test,59.24781799316406,51.359432220458984,47.60960006713867,96.92034149169922,247
ridge_v2_absolute,loso_pooled,106.07955169677734,102.64518737792969,126.79772186279297,,647
ridge_v2_delta,train,18.68842124938965,15.063143730163574,40.558292388916016,,647
ridge_v2_delta,val,88.59371185302734,78.68616485595703,30.182283401489258,105.61129760742188,300
ridge_v2_delta,test,50.12865447998047,42.264793395996094,73.92060852050781,75.61786651611328,247
ridge_v2_delta,loso_pooled,69.01360321044922,67.94318389892578,75.47099304199219,,647
lgbm_v2_absolute,train,49.25998491808594,48.05909400989208,56.50448985338584,,647
lgbm_v2_absolute,val,49.85923276648638,42.000621190405205,27.09718161894409,62.0161297255644,300
lgbm_v2_absolute,test,31.89259566326884,27.762661419547076,53.972766707830175,42.01134730307046,247
lgbm_v2_absolute,loso_pooled,55.02100372314453,53.6612434387207,63.223880767822266,,647
lgbm_v2_delta,train,54.46568044822257,53.45167702702703,60.58276630434782,,647
lgbm_v2_delta,val,49.7394025,40.96737352941176,33.34457142857143,62.79638414634147,300
lgbm_v2_delta,test,35.01316396761133,31.44811436170212,56.2394,43.00943181818182,247
lgbm_v2_delta,loso_pooled,62.746986389160156,57.961055755615234,91.61864471435547,,647
lgbm_v2cut_absolute,train,44.83696584706386,43.33401627319191,53.90367251553047,,647
lgbm_v2cut_absolute,val,50.23091306568985,43.51024094700913,22.601150806727563,61.09207238266919,300
lgbm_v2cut_absolute,test,29.920875854120567,25.41626484759973,50.473924607225904,42.16112898887826,247
lgbm_v2cut_absolute,loso_pooled,54.838497161865234,53.42561340332031,63.361881256103516,,647
lgbm_v1v2_absolute,train,49.14329278393476,47.982785795231635,56.144177335350335,,647
lgbm_v1v2_absolute,val,49.776609995187194,43.16225017373735,26.83564628738898,60.223991422838104,300
lgbm_v1v2_absolute,test,31.190361871643987,27.606620464639278,53.408042591822614,38.928502183330444,247
lgbm_v1v2_absolute,loso_pooled,58.33585739135742,57.24855041503906,64.8951644897461,,647
lgbm_v1v2cut_absolute,train,51.299906428861675,50.2137836805838,57.85205996466849,,647
lgbm_v1v2cut_absolute,val,49.888306259945004,41.903659207588234,29.323917416142876,62.09432838032929,300
lgbm_v1v2cut_absolute,test,32.55206946946761,28.645924156507988,53.52211527560001,42.09308382729545,247
lgbm_v1v2cut_absolute,loso_pooled,60.901153564453125,60.11372375488281,65.65144348144531,,647
